update,timesteps,completed_episodes,mean_completed_return,partial_return,policy_loss,value_loss,entropy
3,6144,7,168.0652386243432,446.8643333655047,-0.016583537103724667,125.76340618133545,2.9337552189826965
4,8192,5,365.0719148105045,133.521830518216,-0.016266222205013038,106.62766056060791,2.928444468975067
5,10240,5,303.05531349946807,51.51548428305698,-0.018376714445184916,107.72173399925232,2.9236855149269103
6,12288,4,286.36116209014455,307.6066119191679,-0.01202057630289346,109.050297164917,2.919018965959549
7,14336,8,130.56637457877648,82.31975785700723,-0.01651569910463877,112.86589832305908,2.938907191157341
8,16384,6,183.79276150292912,261.10751099444695,-0.0071715808939188715,84.53986768722534,2.956452390551567
9,18432,3,329.72415502047966,299.40330115471573,-0.0070372334856074305,84.89324502944946,2.9349129498004913
10,20480,6,293.8132478471775,9.155586159460885,-0.018264476873446255,99.96894040107728,2.930555084347725
11,22528,3,483.90716422094437,96.40649115443281,-0.00915146255865693,56.035773229599,2.946925604343414
12,24576,8,150.11730452866465,256.13292005005115,-0.010356728662736714,143.46227083206176,2.95894712805748
